"","mass_density","ratio_oxygen_by_transition_metal_atom","ratio_atoms_cell_by_cell_vol","electronic_energy_band_gap","energy_atom","point_group","c.a_ratio","AGL_bulk_mod","Thermal_Conductivity"
"172",5.38267,3,0.08505412,0,-6.81705,48,1,114.794,"Medium"
"173",4.08029,4,0.072325755,2.9571,-8.44559,16,1,155.411,"Medium"
"174",5.52627,3,0.091431822,1.5291,-6.90599,16,1.99197997,193.028,"Medium"
"175",7.36826,3.5,0.07546652,3.34,-9.7,48,1,179.028,"Medium"
"176",6.3214,3.5,0.080175219,3.2737,-9.91623,48,1,178.924,"Medium"
"177",5.81724,2,0.057045066,2.98,-7.64,16,1,111.192,"Medium"
"178",4.18264,2,0.091692046,4.2776,-7.47939,16,1,169.922,"Medium"
"179",6.84679,3.5,0.083633018,3.1172,-8.27537,48,1,187.702,"Medium"
"180",6.62585,3.5,0.082380343,3.2411,-8.27656,48,1,185.239,"Medium"
"181",5.20196,2,0.093966038,4.3144,-7.05336,16,0.99819974,177.221,"Medium"
"182",5.20069,2,0.093943339,4.3264,-7.05338,48,1,177.29,"Medium"
"183",6.48621,3.5,0.081741237,3.3021,-8.27691,48,1,184.139,"Medium"
"184",4.18185,2,0.091674634,4.2825,-7.47939,48,1,169.995,"Medium"
"185",4.93288,2,0.070771408,4.9017,-6.8694,48,1,126.358,"Medium"
"186",4.49022,0.33,0.067728881,0,-6.12596,12,0.938002985,147.315,"Medium"
"187",6.28068,3,0.085437631,0.8758,-6.12248,16,1.99303911,172.322,"Medium"
"188",5.50567,1.83,0.08223718,0.489,-7.98492,12,1.236080788,199.139,"Medium"
"189",4.37391,2,0.064868722,3.7088,-6.67498,24,3.892334094,98.6594,"Medium"
"190",7.88122,1,0.073922669,0,-3.79804,48,1,119.636,"Medium"
"191",7.76615,3,0.082722489,0.9934,-9.09327,16,1.915244015,223.783,"Medium"
"192",4.47117,3,0.075086349,3.82,-8.34,8,1.389365352,159.859,"Medium"
"193",6.66341,2.33,0.062199956,3.6497,-8.62557,8,0.580622438,148.528,"Medium"
"194",6.29945,2,0.075525468,0,-5.94071,16,0.672996115,157.783,"Medium"
"195",8.09908,1.5,0.086370579,0,-7.66785,24,0.623297238,146.946,"Medium"
"196",15.2225,0.25,0.061957945,0,-9.64677,8,2.263713633,205.203,"Medium"
"197",4.99028,1,0.080211116,2.4661,-5.8269,24,1,121.474,"Medium"
"198",6.1263,3,0.076486749,0,-6.38738,48,1,112.258,"Medium"
"199",8.11914,3,0.085185325,2.8841,-8.39283,16,1.927062763,228.417,"Medium"
"200",4.14902,4,0.081531155,3.5213,-7.18643,16,1,166.403,"Medium"
"201",4.76875,3.5,0.081922345,3.2858,-8.59564,48,1,182.609,"Medium"
"202",4.30202,3,0.090574952,0,-6.85,48,1,125.998,"Medium"
"203",3.4773,2,0.071186682,4.28,-6.39731,48,1,117.236,"Medium"
"204",5.72543,3.5,0.070867156,1.0459,-7.50126,48,1,166.345,"Medium"
"205",6.61382,3,0.065504872,0,-6.11406,48,1,115.805,"Medium"
"206",6.60304,0.33,0.054907344,0,-9.02,12,1,135.151,"Medium"
"207",4.00704,2,0.087807394,3.2672,-6.33757,8,2.193509674,113.56,"Medium"
"208",3.69661,0.33,0.043662021,0,-4.57653,48,1,51.5487,"Medium"
"209",11.6031,2,0.099593327,3.39,-10.04,8,1.66966967,266.205,"Medium"
"210",5.53298,1,0.048732468,2.9693,-7.73897,12,1.711109055,100.579,"Medium"
"211",5.32906,3,0.083807123,0,-6.42297,48,1,122.523,"Medium"
"212",6.10834,1.6,0.075094455,0,-8.22977,16,2.90448025,188.713,"Medium"
"213",6.48988,3,0.091639429,1.3326,-8.2221,16,1.946618211,227.346,"Medium"
"214",5.20179,2,0.104686986,3.2679,-6.24257,48,1,199.18,"Medium"
"215",4.95407,2,0.106556795,0,-7.35863,24,1,188.924,"Medium"
"216",5.2618,2,0.077150572,4.1,-9.48,8,0.949056604,200.688,"Medium"
"217",6.51721,2,0.095556617,2.85,-9.4,8,1.94100295,247.548,"Medium"
"218",3.86998,3,0.085696045,2.8956,-7.54682,8,1.425326379,169.034,"Medium"
"219",4.04124,2,0.079084205,3.082,-6.44653,24,3.847374903,116.806,"Medium"
"220",4.98403,2,0.09798542,2.015,-6.06713,24,3.958898372,165.81,"Medium"
"221",6.93722,2,0.072783779,0,-6.49163,16,0.847954037,131.839,"Medium"
"222",5.83693,3,0.069110697,0.3313,-6.04632,48,1,123.381,"Medium"
"223",6.85676,1.25,0.082287971,0,-8.72419,16,0.719053513,235.158,"Medium"
"224",4.12799,4,0.081119448,5.8,-8.3,16,1,177.315,"Medium"
"225",5.19488,3,0.09544717,5.54,-8.32,8,1.424474187,192.898,"Medium"
"226",7.20987,3,0.071901064,0.6582,-6.81963,48,1,94.0575,"Medium"
"227",5.55922,2,0.081510664,3.56,-9.5,4,1.038240918,212.734,"Medium"
"228",4.29127,3.5,0.075209561,1.7677,-8.01925,48,1,171.408,"Medium"
"229",7.50559,3,0.084363268,3.0629,-8.64364,16,1.944625628,221.575,"Medium"
"230",11.3483,2,0.091438604,0,-6.20253,16,0.698559052,258.026,"Medium"
"231",3.57596,1,0.069932026,2.4796,-7.89735,24,3.549837199,135.545,"Medium"
"232",4.8952,3,0.071286609,0.6888,-5.98838,48,1,129.015,"Medium"
"233",3.91664,2,0.095535099,0,-7.41274,48,1,173.613,"Medium"
"234",6.45258,3,0.080338321,0,-7.86657,48,1,158.135,"Medium"
"235",5.69746,4,0.086977321,0.2038,-6.84859,8,1,184.571,"Medium"
"236",4.65182,2,0.100055865,0,-7.46746,16,0.663746983,187.317,"Medium"
"237",6.24837,3.5,0.074706691,2.4623,-8.43551,48,1,179.863,"Medium"
"238",7.71287,3,0.067042102,2.28,-7.8,48,1,149.057,"Medium"
"239",3.58296,1.33,0.098446514,2.2626,-6.255,48,1,142.369,"Medium"
"240",4.50072,3,0.082692467,3.5,-8.24,24,3.289398281,165.987,"Medium"
"241",5.91316,1,0.099127676,0,-6.39801,48,1,171.626,"High"
"242",5.24499,3,0.069623338,3.58,-8.25,16,1,146.59,"High"
"243",7.5111,3,0.071999424,4.08,-8.69,16,1.441176471,156.03,"High"
"244",5.23782,3,0.069526524,3.56,-8.25,16,1,149.456,"High"
"245",6.85988,1.28,0.07537967,0,-8.54905,16,2.965665211,208.417,"High"
"246",10.0371,3,0.069686411,2.42,-8.25,48,1,160.132,"High"
"247",6.81658,4,0.091033227,5.3,-9.06,16,0.904977376,227.385,"High"
"248",5.04615,2,0.069275225,0,-6.41134,16,0.860585068,100.648,"High"
"249",3.50435,2,0.088597502,0,-7.38849,48,1,164.763,"High"
"250",4.28096,2,0.102017766,5.4135,-7.07695,48,1,185.265,"High"
"251",5.612,3,0.07394437,0,-7.86387,48,1,165.949,"High"
