mass_density,ratio_oxygen_by_transition_metal_atom,Bravias_lattice.BCT,Bravias_lattice.CUB,Bravias_lattice.FCC,Bravias_lattice.HEX,Bravias_lattice.MCL,Bravias_lattice.MCLC,Bravias_lattice.ORC,Bravias_lattice.ORCC,Bravias_lattice.RHL,Bravias_lattice.TET,ratio_atoms_cell_by_cell_vol,electronic_energy_band_gap,energy_atom,point_group,c_by_a_ratio.,AGL_bulk_mod,AGL_thermal_conductivity
5.5842,4,1,0,0,0,0,0,0,0,0,0,0.072726832,2.9629,-8.1556,16,1,157.745,5.50685
9.10692,3.5,0,0,1,0,0,0,0,0,0,0,0.075981543,3.2266,-9.37413,48,1,184.535,5.89607
7.54439,3.5,0,0,1,0,0,0,0,0,0,0,0.074108009,2.2087,-7.10839,48,1,158.054,4.16156
6.62585,3.5,0,0,1,0,0,0,0,0,0,0,0.082380343,3.2411,-8.27656,48,1,185.239,6.58845
6.92329,3.5,0,0,1,0,0,0,0,0,0,0,0.085107041,0.8467,-8.20289,48,1,202.285,3.05528
9.33528,3.5,0,0,1,0,0,0,0,0,0,0,0.076963442,3.01,-9.36,48,1,186.689,59.6369
7.76459,3.5,0,0,1,0,0,0,0,0,0,0,0.075209304,2.173,-7.10082,48,1,159.947,4.27098
7.76459,3.5,0,0,1,0,0,0,0,0,0,0,0.075209304,2.173,-7.10082,48,1,159.947,4.27098
6.84679,3.5,0,0,1,0,0,0,0,0,0,0,0.083633018,3.1172,-8.27537,48,1,187.702,6.58502
6.58174,3,0,1,0,0,0,0,0,0,0,0,0.079957271,0.7569,-9.07705,48,1,161.556,14.8487
6.40838,3,0,1,0,0,0,0,0,0,0,0,0.079489234,0.5431,-7.45826,48,1,162.396,13.9237
5.91316,1,0,0,1,0,0,0,0,0,0,0,0.099127676,0,-6.39801,48,1,171.626,9.94482
5.04615,2,0,0,0,0,0,0,0,0,0,1,0.069275225,0,-6.41134,16,0.860585068,100.648,11.087
5.32906,3,0,1,0,0,0,0,0,0,0,0,0.083807123,0,-6.42297,48,1,122.523,8.0483
5.17095,2.75,0,0,0,0,0,0,0,1,0,0,0.078902999,0,-6.48661,8,0.814980328,125.799,3.26311
5.26527,2,0,0,0,0,0,0,0,1,0,0,0.073321846,3.7068,-8.31499,4,0.761651939,147.576,4.24501
5.29012,4,1,0,0,0,0,0,0,0,0,0,0.070225952,2.9412,-9.66418,16,1,151.183,5.37694
8.75272,3.5,0,0,1,0,0,0,0,0,0,0,0.074005053,3.4526,-11.0309,48,1,179.08,5.86094
7.23794,3.5,0,0,1,0,0,0,0,0,0,0,0.072222313,2.1547,-8.76022,48,1,152.771,4.03978
6.3214,3.5,0,0,1,0,0,0,0,0,0,0,0.080175219,3.2737,-9.91623,48,1,178.924,6.44169
6.88743,3.5,0,0,1,0,0,0,0,0,0,0,0.0749255,0.1483,-10.3493,48,1,171.035,3.69397
6.64662,3.5,0,0,1,0,0,0,0,0,0,0,0.072305867,2.8475,-10.6304,48,1,170.698,5.79276
5.7573,2.67,1,0,0,0,0,0,0,0,0,0,0.087732125,3.88,-8.73,8,1,214.648,4.33
5.41548,2,0,0,0,0,0,0,1,0,0,0,0.092625673,0.8331,-7.25374,8,3.127152972,160.312,4.53693
5.86812,2,0,0,1,0,0,0,0,0,0,0,0.097402146,2.1223,-5.67634,48,1,175.24,5.29965
10.6975,2,0,0,1,0,0,0,0,0,0,0,0.091827365,3.8,-30.27,48,1,244.51,21.78
10.0371,3,0,1,0,0,0,0,0,0,0,0,0.069686411,2.42,-8.25,48,1,160.132,10.66
7.34344,3,0,1,0,0,0,0,0,0,0,0,0.070392792,3.73,-8.27,48,1,157.079,15.11
7.5111,3,0,0,0,0,0,0,0,0,0,1,0.071999424,4.08,-8.69,16,1.441176471,156.03,10.27
6.81658,4,1,0,0,0,0,0,0,0,0,0,0.091033227,5.3,-9.06,16,0.904977376,227.385,10.97
9.21326,3.5,0,0,1,0,0,0,0,0,0,0,0.076402153,3.12,-9.37,48,1,185.775,5.88
7.73588,3.5,0,0,1,0,0,0,0,0,0,0,0.068620907,4.4648,-9.3467,48,1,168.135,5.25907
7.50283,3,0,0,0,0,0,0,0,1,0,0,0.071921749,3.96,-8.69,8,1.004889976,159.68,5.4
7.5076,3,0,0,0,0,0,0,1,0,0,0,0.071942446,4.17,-8.7,8,0.703703704,159.876,5.81
7.36826,3.5,0,0,1,0,0,0,0,0,0,0,0.07546652,3.34,-9.7,48,1,179.028,6.44
3.60511,3.5,0,1,0,0,0,0,0,0,0,0,0.055331846,2.6438,-8.46874,24,1,129.617,3.23817
8.11561,1,0,1,0,0,0,0,0,0,0,0,0.064717938,2.87,-8.91,23,1,159.952,33.8416
11.6031,2,0,0,0,0,0,0,1,0,0,0,0.099593327,3.39,-10.04,8,1.66966967,266.205,7.82
7.65603,3.5,0,0,1,0,0,0,0,0,0,0,0.07466663,2.1953,-7.10373,48,1,158.797,4.25779
6.90074,3,0,0,0,0,0,0,1,0,0,0,0.068866255,2.8177,-6.92655,8,1.439486929,140.096,2.63292
11.3483,2,0,0,0,0,0,0,0,0,0,1,0.091438604,0,-6.20253,16,0.698559052,258.026,8.97785
4.47347,3,0,0,0,0,0,0,0,1,0,0,0.074831703,2.047,-7.46912,4,0.985377968,163.052,12.7733
6.73174,3,0,1,0,0,0,0,0,0,0,0,0.075620885,2.3227,-7.91939,48,1,178.57,19.2577
5.53578,0.3,0,0,0,1,0,0,0,0,0,0,0.042129506,0,-6.31737,24,0.430326804,78.6931,3.21651
5.64167,1.5,0,0,0,0,0,0,0,0,0,0,0.052139206,3.5256,-8.15204,24,1,109.882,1.46822
