"","DF.L1.C1","DF.L1.C2","DF.L1.C3","DF.L1.C4","DF.L1.C5","y_scaled"
"65",-0.122321808764924,-0.254839826815307,-0.0585444621005269,-0.228550116646836,0.0180741247941164,9.72
"66",0.105010109520802,0.297840031887787,-0.0314007021018317,0.0775872870037048,0.173979880702944,4.51284
"67",-0.470395908166265,-0.0178934655407008,0.00727150353209449,-0.14388566616443,-0.0726643331565584,6.91602
"68",0.209070891044028,0.0615870980163729,0.0141149306876019,0.21098086134064,-0.32241911046427,3.78171
"69",0.261122185824641,0.00317795444302371,0.0115911967064025,0.072544329890172,-0.153363268547524,4.88431
"70",-0.312691071893852,-0.179672553913421,0.0278805952080055,-0.200231647365383,0.0276152665629457,3.00565
"71",0.100199096800529,0.0919003385628802,-0.015615686287233,0.146455260835318,-0.160577051279136,2.43277
"72",-0.337762293034431,-0.114645875415628,-0.0422078501854795,-0.172943348399456,-0.0510706862751364,2.44492
"73",0.143793413416209,0.0670346737450337,0.0562299199286878,0.154713991938923,-0.0519225969017392,2.43845
"74",-0.0599948432168003,0.325974227816648,-0.0333034092940081,0.220561870508001,-0.13494873266115,1.66417
"75",-0.32689709729101,-0.149770410655529,-0.032496874552802,-0.146577673408808,-0.0287405353111516,2.28661
"76",-0.178953574519323,-0.279497004060429,0.00229542039579778,-0.325171101022872,0.0171045161333033,2.65607
"77",-0.168385847839658,-0.255973673840734,-0.0336078453762003,-0.282841690399922,0.00744689464107295,5.6713
"78",0.223523628383983,0.0828517757276407,0.0499965246861493,-0.0470266285629819,-0.117050310182273,2.37723
"79",0.371174131987597,0.0388126361508826,0.0400552847614876,0.123225232507079,-0.0479343782649193,4.97296
"80",0.213973521445567,0.0951960528566488,0.148358485364632,-0.0430101250210755,-0.00535872539874327,4.43936
"81",-0.242554715580114,-0.25887733806221,0.0331830264426072,-0.429403757989939,-0.0284659492899484,2.95423
"82",-0.150851433008488,-0.274325543459239,-0.0758027903958423,-0.281185899330885,-0.0516268472270536,5.63437
"83",0.00753483329598692,-0.0365293729882217,0.0166924731375834,-0.0110455471375808,-0.107829434721741,2.15515
"84",0.0734045949876222,0.334075030445998,-0.149091312381342,0.339296554972298,-0.165369768123028,0.492799
"85",-0.34607981432742,-0.130884535774663,0.0436545868694089,-0.199263534808285,0.030991108949284,3.10202
"86",-0.0367586810962093,0.345532820132655,0.0156291472020486,-0.0925583184033434,0.103051146123184,1.9816
"87",0.373022666767921,-0.0859996613369962,-0.0644684235732151,0.037380805387546,-0.0985778819660803,4.55947
"89",-0.0220161608290226,0.070267595788934,0.0163337304253118,0.245547723516673,-0.0155248084293547,7.12888
"90",-0.271721055826801,-0.247253490423309,0.140210919441535,-0.451123773679487,0.0684420214926609,5.97575
