"","mass_density","oxygen.transition_metal_atom","atoms_cell.cell_vol","electronic_energy_band_gap","energy_atom","space_group","point_group","c.a_ratio","AGL_thermal_conductivity"
"270",7.71287,3,0.067042102,2.28,-7.8,221,48,1,9.84
"271",7.08131,3,0.072835069,0,-7.71432,221,48,1,21.7342
"272",5.83693,3,0.069110697,0.3313,-6.04632,221,48,1,8.68576
"273",5.64874,3,0.07926229,1.7288,-6.9263,221,48,1,12.9608
"274",4.86033,3,0.079745707,2.29,-7.47382,221,48,1,21.4744
"275",5.09365,3,0.067613252,3.22,-8.21,221,48,1,14.9
"276",6.7605,3,0.070240257,0.7293,-8.49173,221,48,1,24.0636
"277",7.95705,0.25,0.056500025,0,-7.46993,227,48,1,0.700031
"278",4.37391,2,0.064868722,3.7088,-6.67498,194,24,3.892334094,6.85733
"279",10.7534,2,0.089035963,0,-7.85571,136,16,0.557481866,13.6076
"280",6.8307,2,0.091476941,0,-5.51893,136,16,0.685459629,11.6446
"281",3.57596,1,0.069932026,2.4796,-7.89735,194,24,3.549837199,9.06028
"282",4.81625,1,0.062467465,2.42,-8.33,198,12,1,32.7949
"283",6.32339,2,0.075812425,0.3843,-5.93858,58,8,1.498606903,6.18729
"284",6.29945,2,0.075525468,0,-5.94071,136,16,0.672996115,7.04549
"285",9.65966,2,0.081952659,0,-9.28412,136,16,0.577105116,14.1696
"286",3.63372,2,0.082164318,2.5528,-8.05743,141,16,1,13.0947
"287",4.01394,2,0.090761809,2.2636,-8.04768,136,16,0.647059704,22.7614
"288",4.46159,2,0.097184248,0.8364,-7.9177,136,16,0.671091117,19.367
"289",10.426,2,0.087264858,0,-8.6772,136,16,0.53970818,19.1694
"290",8.21381,3,0.084483452,0,-7.6124,182,12,0.916638294,19.32
"291",5.92798,3,0.070188738,1.1654,-6.10236,140,16,1,5.80732
"292",4.88243,3,0.080108306,2.3866,-7.47625,140,16,1.002457955,12.185
"293",5.23782,3,0.069526524,3.56,-8.25,140,16,1,10.31
"294",5.24499,3,0.069623338,3.58,-8.25,140,16,1,10.18
"295",6.67335,3,0.069334905,0.739,-8.50881,129,16,0.73515668,15.3918
"296",3.50882,4,0.090607067,4.8968,-7.97866,141,16,1,12.7395
"297",4.12799,4,0.081119448,5.8,-8.3,141,16,1,8.74
"298",7.0988,2,0.081828278,0,-6.1516,88,8,1,3.61057
"299",4.6491,4,0.065658445,2.7237,-8.2441,141,16,1,4.8759
"300",11.1626,2,0.092424289,0,-7.93832,60,8,1.229031051,12.2838
"301",7.06112,2,0.088804313,2.0292,-5.30993,227,48,1,4.07567
"302",5.69746,4,0.086977321,0.2038,-6.84859,109,8,1,9.59146
"303",4.98541,4,0.09827205,4.04,-8.65,88,12,1,11.57
"304",4.48954,4,0.088495575,4.47,-8.73,141,16,1,11.61
"305",6.36958,2,0.085663063,0.6598,-5.01568,227,48,1,3.18526
"306",6.90904,2,0.082834028,0.1517,-5.85956,205,24,1,4.7526
"307",6.98984,2,0.083802979,0.181,-5.70972,62,8,2.037775164,3.02075
"308",6.42783,2,0.077064856,0.3589,-5.9266,60,8,1.21453009,4.08945
"309",3.4134,2,0.077182827,2.2613,-7.86991,141,16,1,15.6738
"310",4.09225,2,0.092532618,2.8179,-8.03853,60,8,1.211715549,11.6067
"311",4.08029,4,0.072325755,2.9571,-8.44559,141,16,1,6.43648
"312",5.55922,2,0.081510664,3.56,-9.5,14,4,1.038240918,8.86
"313",6.51721,2,0.095556617,2.85,-9.4,62,8,1.94100295,8.37
"314",5.2618,2,0.077150572,4.1,-9.48,60,8,0.949056604,8.33
"315",6.19541,3,0.064369049,0.7586,-8.48908,191,24,0.514181498,13.4881
