iter	Passed	Remaining
1564	35293	9810
1565	35318	9788
1566	35342	9765
1567	35366	9743
1568	35391	9721
1569	35415	9699
1570	35439	9677
1571	35463	9655
1572	35488	9633
1573	35512	9611
1574	35536	9589
1575	35561	9567
1576	35585	9545
1577	35609	9523
1578	35634	9500
1579	35658	9478
1580	35682	9456
1581	35707	9434
1582	35731	9412
1583	35755	9390
1584	35779	9368
1585	35804	9346
1586	35828	9323
1587	35852	9301
1588	35877	9279
1589	35901	9257
1590	35925	9235
1591	35949	9213
1592	35974	9191
1593	35998	9168
1594	36023	9146
1595	36047	9124
1596	36071	9102
1597	36096	9080
1598	36120	9058
1599	36145	9036
1600	36169	9014
1601	36195	8992
1602	36220	8970
1603	36246	8948
1604	36271	8926
1605	36297	8904
1606	36321	8882
1607	36346	8860
1608	36370	8838
1609	36394	8816
1610	36419	8793
1611	36443	8771
1612	36467	8749
1613	36492	8727
1614	36516	8705
1615	36541	8683
1616	36565	8660
1617	36590	8638
1618	36614	8616
1619	36638	8594
1620	36662	8571
1621	36686	8549
1622	36711	8527
1623	36735	8505
1624	36760	8483
1625	36784	8460
1626	36808	8438
1627	36832	8416
1628	36857	8394
1629	36882	8372
1630	36906	8349
1631	36931	8327
1632	36955	8305
1633	36979	8283
1634	37005	8261
1635	37029	8238
1636	37054	8216
1637	37078	8194
1638	37102	8172
1639	37127	8149
1640	37151	8127
1641	37176	8105
1642	37201	8083
1643	37226	8061
1644	37250	8038
1645	37274	8016
1646	37298	7994
1647	37322	7971
1648	37347	7949
1649	37371	7927
1650	37395	7904
1651	37420	7882
1652	37446	7860
1653	37472	7838
1654	37497	7816
1655	37524	7794
1656	37549	7772
1657	37573	7750
1658	37597	7728
1659	37622	7705
1660	37646	7683
1661	37670	7661
1662	37695	7638
1663	37719	7616
1664	37744	7594
1665	37768	7571
